sku,slug,name,group_name,size,size_label,pack_qty,unit,price,currency,manba_narx,manba_valyuta,brand,category_uz,subcategory_ru,supplier,price_date,in_stock,featured
NG-0001,vreznoy-homut-20-15-nevo,Врезной хомут 20/15 Nevo,Врезной хомут,20/15,Диаметр,45,dona,18000,UZS,1.5,USD,Nevo,Truba va fitinglar,Врезные хомуты,Nevo Group,2026-05-17,TRUE,FALSE
NG-0002,vreznoy-homut-25-15-nevo,Врезной хомут 25/15 Nevo,Врезной хомут,25/15,Диаметр,45,dona,18000,UZS,1.5,USD,Nevo,Truba va fitinglar,Врезные хомуты,Nevo Group,2026-05-17,TRUE,FALSE
NG-0003,vreznoy-homut-32-20-all-ayzen,Врезной хомут 32/20 ALL AYZEN,Врезной хомут,32/20,Диаметр,45,dona,26400,UZS,2.2,USD,ALL AYZEN,Truba va fitinglar,Врезные хомуты,Nevo Group,2026-05-17,TRUE,FALSE
NG-0004,vreznoy-homut-40-20-all-ayzen,Врезной хомут 40/20 ALL AYZEN,Врезной хомут,40/20,Диаметр,45,dona,26400,UZS,2.2,USD,ALL AYZEN,Truba va fitinglar,Врезные хомуты,Nevo Group,2026-05-17,TRUE,FALSE
NG-0005,vreznoy-homut-50-20-all-ayzen,Врезной хомут 50/20 ALL AYZEN,Врезной хомут,50/20,Диаметр,45,dona,27600,UZS,2.3,USD,ALL AYZEN,Truba va fitinglar,Врезные хомуты,Nevo Group,2026-05-17,TRUE,FALSE
NG-0006,vreznoy-homut-63-20-all-ayzen,Врезной хомут 63/20 ALL AYZEN,Врезной хомут,63/20,Диаметр,45,dona,30000,UZS,2.5,USD,ALL AYZEN,Truba va fitinglar,Врезные хомуты,Nevo Group,2026-05-17,TRUE,FALSE
NG-0007,vreznoy-homut-75-25-all-ayzen,Врезной хомут 75/25 ALL AYZEN,Врезной хомут,75/25,Диаметр,45,dona,36000,UZS,3.0,USD,ALL AYZEN,Truba va fitinglar,Врезные хомуты,Nevo Group,2026-05-17,TRUE,FALSE
NG-0008,vreznoy-homut-90-25-all-ayzen,Врезной хомут 90/25 ALL AYZEN,Врезной хомут,90/25,Диаметр,36,dona,42000,UZS,3.5,USD,ALL AYZEN,Truba va fitinglar,Врезные хомуты,Nevo Group,2026-05-17,TRUE,FALSE
NG-0009,vreznoy-homut-110-25-all-ayzen,Врезной хомут 110/25 ALL AYZEN,Врезной хомут,110/25,Диаметр,24,dona,42000,UZS,3.5,USD,ALL AYZEN,Truba va fitinglar,Врезные хомуты,Nevo Group,2026-05-17,TRUE,FALSE
NG-0010,vreznoy-homut-110-32-nevo,Врезной хомут 110/32 Nevo,Врезной хомут,110/32,Диаметр,15,dona,66000,UZS,5.5,USD,Nevo,Truba va fitinglar,Врезные хомуты,Nevo Group,2026-05-17,TRUE,FALSE
